step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,360.887391,0.0,228.705991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T18:22:43.831356
1,94.03773,0.0,36.618313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T18:22:43.925747
2,139.642519,0.0,36.46948,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,26.60366666666667,0.22169722222222227,54.0,92.0,75.0,1.6,2026-04-06T18:22:44.072234
3,132.577276,0.0,36.517451,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,26.60366666666667,0.22169722222222227,54.0,92.0,75.0,1.6,2026-04-06T18:22:44.205034
4,139.6622,0.0,36.601762,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,26.60366666666667,0.22169722222222227,54.0,92.0,75.0,1.6,2026-04-06T18:22:44.345159
5,139.481366,0.0,36.661572,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,26.60366666666667,0.22169722222222227,54.0,92.0,75.0,1.6,2026-04-06T18:22:44.485085
6,139.378515,0.0,36.583462,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.82225,0.2651854166666667,55.0,99.0,71.0,1.6,2026-04-06T18:22:44.631933
7,132.83374,0.0,36.608242,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.82225,0.2651854166666667,55.0,99.0,71.0,1.6,2026-04-06T18:22:44.764985
8,140.548685,0.0,37.018069,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.82225,0.2651854166666667,55.0,99.0,71.0,1.6,2026-04-06T18:22:44.906013
9,138.976938,0.0,36.537441,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.82225,0.2651854166666667,55.0,99.0,71.0,1.6,2026-04-06T18:22:45.045435
10,139.320724,0.0,36.563192,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.154,0.20961666666666667,55.0,98.0,76.0,1.6,2026-04-06T18:22:45.191994
11,132.985652,0.0,36.550672,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.154,0.20961666666666667,55.0,98.0,76.0,1.6,2026-04-06T18:22:45.325206
12,139.183872,0.0,36.49539,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.154,0.20961666666666667,55.0,98.0,76.0,1.6,2026-04-06T18:22:45.464893
13,139.525058,0.0,36.591542,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.154,0.20961666666666667,55.0,98.0,76.0,1.6,2026-04-06T18:22:45.604882
14,139.431795,0.0,36.585492,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.4785,0.26232083333333334,55.0,99.0,70.0,1.6,2026-04-06T18:22:45.751951
15,132.901702,0.0,36.700123,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.4785,0.26232083333333334,55.0,99.0,70.0,1.6,2026-04-06T18:22:45.885068
16,139.318483,0.0,36.604162,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.4785,0.26232083333333334,55.0,99.0,70.0,1.6,2026-04-06T18:22:46.024876
17,139.392126,0.0,36.577172,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.4785,0.26232083333333334,55.0,99.0,70.0,1.6,2026-04-06T18:22:46.164752
18,139.415886,0.0,36.575591,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.35775,0.2613145833333333,56.0,99.0,74.0,1.6,2026-04-06T18:22:46.311789
19,132.722908,0.0,36.682393,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.35775,0.2613145833333333,56.0,99.0,74.0,1.6,2026-04-06T18:22:46.444725
20,139.337094,0.0,36.592172,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.35775,0.2613145833333333,56.0,99.0,74.0,1.6,2026-04-06T18:22:46.584553
21,139.464716,0.0,36.702134,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.35775,0.2613145833333333,56.0,99.0,74.0,1.6,2026-04-06T18:22:46.724483
22,139.357295,0.0,36.555662,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.3605,0.21133749999999998,56.0,98.0,81.0,1.6,2026-04-06T18:22:46.871412
23,133.35476,0.0,36.874117,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.3605,0.21133749999999998,56.0,98.0,81.0,1.6,2026-04-06T18:22:47.004964
24,139.145101,0.0,36.715084,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.3605,0.21133749999999998,56.0,98.0,81.0,1.6,2026-04-06T18:22:47.144708
25,139.271473,0.0,36.665453,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.3605,0.21133749999999998,56.0,98.0,81.0,1.6,2026-04-06T18:22:47.284465
26,139.452787,0.0,36.610622,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.827,0.26522500000000004,56.0,99.0,72.0,1.6,2026-04-06T18:22:47.431358
27,132.757389,0.0,36.680263,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.827,0.26522500000000004,56.0,99.0,72.0,1.6,2026-04-06T18:22:47.564338
28,139.522828,0.0,36.602772,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.827,0.26522500000000004,56.0,99.0,72.0,1.6,2026-04-06T18:22:47.704337
29,139.462286,0.0,36.651583,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,31.827,0.26522500000000004,56.0,99.0,72.0,1.6,2026-04-06T18:22:47.844286
30,139.559079,0.0,36.624672,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.51525,0.21262708333333336,56.0,98.0,77.0,1.6,2026-04-06T18:22:47.991237
31,132.987613,0.0,36.659053,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.51525,0.21262708333333336,56.0,98.0,77.0,1.6,2026-04-06T18:22:48.124469
32,139.537738,0.0,36.648493,0.0,0.0,0.0,3512.73876953125,6958.0,6580.95361328125,25.51525,0.21262708333333336,56.0,98.0,77.0,1.6,2026-04-06T18:22:48.264330
