step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,428.364385,0.0,238.72728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T15:20:43.557996
1,174.763516,0.0,77.499301,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,46.1425,0.3845208333333333,54.0,85.0,63.0,1.1,2026-04-06T15:20:43.735562
2,248.692124,0.0,77.871068,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,46.1425,0.3845208333333333,54.0,85.0,63.0,1.1,2026-04-06T15:20:43.984476
3,251.103476,0.0,77.740915,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.1225,0.44268750000000007,55.0,99.0,77.0,1.1,2026-04-06T15:20:44.238093
4,249.119642,0.0,77.655104,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.1225,0.44268750000000007,55.0,99.0,77.0,1.1,2026-04-06T15:20:44.487422
5,251.547324,0.0,78.085911,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.703,0.4391916666666667,54.0,99.0,72.0,1.0,2026-04-06T15:20:44.741588
6,248.967939,0.0,77.656003,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.703,0.4391916666666667,54.0,99.0,72.0,1.0,2026-04-06T15:20:44.990769
7,251.782898,0.0,78.097451,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.418,0.43681666666666663,55.0,99.0,77.0,1.1,2026-04-06T15:20:45.249562
8,244.711994,0.0,77.811186,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.418,0.43681666666666663,55.0,99.0,77.0,1.1,2026-04-06T15:20:45.494496
9,251.938171,0.0,77.901737,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.652,0.4471,55.0,100.0,71.0,1.1,2026-04-06T15:20:45.749611
10,248.668714,0.0,78.093421,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.652,0.4471,55.0,100.0,71.0,1.1,2026-04-06T15:20:45.998501
11,251.229628,0.0,77.681454,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.336,0.4444666666666666,55.0,99.0,78.0,1.1,2026-04-06T15:20:46.252366
12,249.630861,0.0,78.108282,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.336,0.4444666666666666,55.0,99.0,78.0,1.1,2026-04-06T15:20:46.502213
13,251.413532,0.0,77.927048,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9225,0.4410208333333333,55.0,100.0,69.0,1.1,2026-04-06T15:20:46.756550
14,249.528689,0.0,77.896728,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9225,0.4410208333333333,55.0,100.0,69.0,1.1,2026-04-06T15:20:47.006290
15,251.467702,0.0,78.310205,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,62.9815,0.5248458333333333,56.0,99.0,77.0,1.1,2026-04-06T15:20:47.260473
16,248.551332,0.0,77.705064,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,62.9815,0.5248458333333333,56.0,99.0,77.0,1.1,2026-04-06T15:20:47.509239
17,252.046773,0.0,78.142312,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.034,0.4502833333333333,55.0,99.0,77.0,1.1,2026-04-06T15:20:47.769408
18,244.270547,0.0,78.126841,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.034,0.4502833333333333,55.0,99.0,77.0,1.1,2026-04-06T15:20:48.013910
19,251.447763,0.0,78.04629,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.282,0.4440166666666666,56.0,99.0,77.0,1.1,2026-04-06T15:20:48.269031
20,248.265477,0.0,77.950669,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.282,0.4440166666666666,56.0,99.0,77.0,1.1,2026-04-06T15:20:48.517514
21,251.200688,0.0,77.601903,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8575,0.44881250000000006,55.0,99.0,77.0,1.1,2026-04-06T15:20:48.771827
22,249.203044,0.0,78.248354,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8575,0.44881250000000006,55.0,99.0,77.0,1.1,2026-04-06T15:20:49.021244
23,251.765048,0.0,77.915688,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.891,0.44075833333333336,56.0,99.0,76.0,1.0,2026-04-06T15:20:49.275709
24,249.313115,0.0,78.02682,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.891,0.44075833333333336,56.0,99.0,76.0,1.0,2026-04-06T15:20:49.525305
25,251.546553,0.0,78.104851,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9745,0.44145416666666665,56.0,99.0,77.0,1.1,2026-04-06T15:20:49.779486
26,249.215274,0.0,77.738555,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9745,0.44145416666666665,56.0,99.0,77.0,1.1,2026-04-06T15:20:50.028915
27,251.696536,0.0,78.193023,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.5875,0.43822916666666667,56.0,99.0,77.0,1.1,2026-04-06T15:20:50.288027
