step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,683.984803,0.0,0.0,0.0,55.780472,0.0,3568.61376953125,17206.0,16890.529296875,118.552,0.9879333333333334,51.0,93.0,72.0,1.7,2026-04-06T14:54:44.702759
1,473.492093,0.0,0.0,0.0,37.955042,0.0,3568.61376953125,17206.0,16890.529296875,118.552,0.9879333333333334,51.0,93.0,72.0,1.7,2026-04-06T14:54:45.176595
2,473.398101,0.0,0.0,0.0,37.958231,0.0,3569.11376953125,19036.0,18699.89892578125,106.496,0.8874666666666666,53.0,99.0,81.0,1.6,2026-04-06T14:54:45.652797
3,473.654027,0.0,0.0,0.0,38.031893,0.0,3569.11376953125,19036.0,18699.89892578125,106.496,0.8874666666666666,53.0,99.0,81.0,1.6,2026-04-06T14:54:46.126714
4,473.608604,0.0,0.0,0.0,37.975922,0.0,3569.11376953125,19036.0,18699.89892578125,99.254,0.8271166666666667,53.0,100.0,77.0,1.9,2026-04-06T14:54:46.603524
5,473.529144,0.0,0.0,0.0,37.920601,0.0,3569.11376953125,19036.0,18699.89892578125,99.254,0.8271166666666667,53.0,100.0,77.0,1.9,2026-04-06T14:54:47.077318
6,473.758358,0.0,0.0,0.0,38.044293,0.0,3569.11376953125,19036.0,18699.89892578125,107.7465,0.8978875,54.0,100.0,76.0,1.8,2026-04-06T14:54:47.553977
7,473.545623,0.0,0.0,0.0,38.127784,0.0,3569.11376953125,19036.0,18699.89892578125,107.7465,0.8978875,54.0,100.0,76.0,1.8,2026-04-06T14:54:48.027783
8,473.655156,0.0,0.0,0.0,37.997282,0.0,3569.11376953125,19036.0,18699.89892578125,99.349,0.8279083333333334,53.0,100.0,77.0,1.9,2026-04-06T14:54:48.508116
9,473.404032,0.0,0.0,0.0,38.005072,0.0,3569.11376953125,19036.0,18699.89892578125,99.349,0.8279083333333334,53.0,100.0,77.0,1.9,2026-04-06T14:54:48.981793
10,473.963152,0.0,0.0,0.0,38.311369,0.0,3569.11376953125,19036.0,18699.89892578125,108.8645,0.9072041666666668,54.0,99.0,80.0,1.7,2026-04-06T14:54:49.458637
11,473.580274,0.0,0.0,0.0,37.931631,0.0,3569.11376953125,19036.0,18699.89892578125,108.8645,0.9072041666666668,54.0,99.0,80.0,1.7,2026-04-06T14:54:49.932598
12,473.476613,0.0,0.0,0.0,38.037163,0.0,3569.11376953125,19036.0,18699.89892578125,99.516,0.8293,54.0,100.0,77.0,1.9,2026-04-06T14:54:50.409903
13,474.000112,0.0,0.0,0.0,38.142145,0.0,3569.11376953125,19036.0,18699.89892578125,99.516,0.8293,54.0,100.0,77.0,1.9,2026-04-06T14:54:50.884175
14,473.854919,0.0,0.0,0.0,37.999822,0.0,3569.11376953125,19036.0,18699.89892578125,109.099,0.9091583333333334,54.0,100.0,75.0,1.9,2026-04-06T14:54:51.361144
15,473.569494,0.0,0.0,0.0,37.941671,0.0,3569.11376953125,19036.0,18699.89892578125,109.099,0.9091583333333334,54.0,100.0,75.0,1.9,2026-04-06T14:54:51.834978
16,473.576804,0.0,0.0,0.0,38.008652,0.0,3569.11376953125,19036.0,18699.89892578125,99.003,0.825025,55.0,100.0,77.0,1.9,2026-04-06T14:54:52.311295
17,473.84535,0.0,0.0,0.0,38.069643,0.0,3569.11376953125,19036.0,18699.89892578125,99.003,0.825025,55.0,100.0,77.0,1.9,2026-04-06T14:54:52.785428
18,473.863899,0.0,0.0,0.0,37.953662,0.0,3569.11376953125,19036.0,18699.89892578125,108.8575,0.9071458333333333,54.0,99.0,79.0,1.9,2026-04-06T14:54:53.266720
19,473.700816,0.0,0.0,0.0,37.985972,0.0,3569.11376953125,19036.0,18699.89892578125,108.8575,0.9071458333333333,54.0,99.0,79.0,1.9,2026-04-06T14:54:53.740684
20,473.831959,0.0,0.0,0.0,37.952932,0.0,3569.11376953125,19036.0,18699.89892578125,99.8345,0.8319541666666668,55.0,100.0,77.0,1.9,2026-04-06T14:54:54.217296
21,474.149054,0.0,0.0,0.0,38.190205,0.0,3569.11376953125,19036.0,18699.89892578125,99.8345,0.8319541666666668,55.0,100.0,77.0,1.9,2026-04-06T14:54:54.691722
22,473.958251,0.0,0.0,0.0,38.022463,0.0,3569.11376953125,19036.0,18699.89892578125,108.8925,0.9074375,55.0,100.0,75.0,2.0,2026-04-06T14:54:55.169061
23,474.005192,0.0,0.0,0.0,38.035833,0.0,3569.11376953125,19036.0,18699.89892578125,108.8925,0.9074375,55.0,100.0,75.0,2.0,2026-04-06T14:54:55.643330
24,473.814599,0.0,0.0,0.0,37.90518,0.0,3569.11376953125,19036.0,18699.89892578125,99.192,0.8265999999999999,55.0,100.0,77.0,1.6,2026-04-06T14:54:56.120298
25,473.621625,0.0,0.0,0.0,37.936561,0.0,3569.11376953125,19036.0,18699.89892578125,99.192,0.8265999999999999,55.0,100.0,77.0,1.6,2026-04-06T14:54:56.594178
26,473.839749,0.0,0.0,0.0,37.912651,0.0,3569.11376953125,19036.0,18699.89892578125,108.976,0.9081333333333332,55.0,99.0,77.0,1.6,2026-04-06T14:54:57.070837
27,473.688267,0.0,0.0,0.0,37.955192,0.0,3569.11376953125,19036.0,18699.89892578125,108.976,0.9081333333333332,55.0,99.0,77.0,1.6,2026-04-06T14:54:57.544794
28,473.732097,0.0,0.0,0.0,37.931172,0.0,3569.11376953125,19036.0,18699.89892578125,99.1715,0.8264291666666667,55.0,100.0,78.0,1.6,2026-04-06T14:54:58.025328
29,473.863279,0.0,0.0,0.0,38.002452,0.0,3569.11376953125,19036.0,18699.89892578125,99.1715,0.8264291666666667,55.0,100.0,78.0,1.6,2026-04-06T14:54:58.499460
30,474.035304,0.0,0.0,0.0,37.930052,0.0,3569.11376953125,19036.0,18699.89892578125,110.0715,0.9172625,56.0,100.0,76.0,1.9,2026-04-06T14:54:58.976206
31,474.288117,0.0,0.0,0.0,38.140694,0.0,3569.11376953125,19036.0,18699.89892578125,110.0715,0.9172625,56.0,100.0,76.0,1.9,2026-04-06T14:54:59.450759
32,474.129085,0.0,0.0,0.0,37.951571,0.0,3569.11376953125,19036.0,18699.89892578125,98.3875,0.8198958333333334,56.0,100.0,78.0,1.9,2026-04-06T14:54:59.927730
33,474.339117,0.0,0.0,0.0,37.905701,0.0,3569.11376953125,19036.0,18699.89892578125,98.3875,0.8198958333333334,56.0,100.0,78.0,1.9,2026-04-06T14:55:00.402343
34,474.113574,0.0,0.0,0.0,37.90211,0.0,3569.11376953125,19036.0,18699.89892578125,110.1945,0.9182875,55.0,100.0,77.0,1.9,2026-04-06T14:55:00.884551
35,474.237116,0.0,0.0,0.0,38.094244,0.0,3569.11376953125,19036.0,18699.89892578125,110.1945,0.9182875,55.0,100.0,77.0,1.9,2026-04-06T14:55:01.359062
36,474.529562,0.0,0.0,0.0,37.997072,0.0,3569.11376953125,19036.0,18699.89892578125,108.7835,0.9065291666666667,56.0,100.0,79.0,1.8,2026-04-06T14:55:01.836367
37,473.753748,0.0,0.0,0.0,37.84428,0.0,3569.11376953125,19036.0,18699.89892578125,108.7835,0.9065291666666667,56.0,100.0,79.0,1.8,2026-04-06T14:55:02.310379
38,474.883737,0.0,0.0,0.0,38.142904,0.0,3569.11376953125,19036.0,18699.89892578125,100.879,0.8406583333333334,56.0,100.0,76.0,2.0,2026-04-06T14:55:02.788039
39,475.111761,0.0,0.0,0.0,37.905141,0.0,3569.11376953125,19036.0,18699.89892578125,100.879,0.8406583333333334,56.0,100.0,76.0,2.0,2026-04-06T14:55:03.263460
40,473.994642,0.0,0.0,0.0,37.953861,0.0,3569.11376953125,19036.0,18699.89892578125,108.559,0.9046583333333333,56.0,100.0,76.0,1.7,2026-04-06T14:55:03.743826
41,474.443489,0.0,0.0,0.0,38.358489,0.0,3569.11376953125,19036.0,18699.89892578125,108.559,0.9046583333333333,56.0,100.0,76.0,1.7,2026-04-06T14:55:04.218543
42,474.152665,0.0,0.0,0.0,37.992702,0.0,3569.11376953125,19036.0,18699.89892578125,100.1095,0.8342458333333332,56.0,100.0,77.0,1.8,2026-04-06T14:55:04.695551
43,473.931331,0.0,0.0,0.0,37.992003,0.0,3569.11376953125,19036.0,18699.89892578125,100.1095,0.8342458333333332,56.0,100.0,77.0,1.8,2026-04-06T14:55:05.169746
44,473.562794,0.0,0.0,0.0,37.931441,0.0,3569.11376953125,19036.0,18699.89892578125,108.429,0.903575,56.0,99.0,82.0,1.9,2026-04-06T14:55:05.646663
45,474.551931,0.0,0.0,0.0,38.273567,0.0,3569.11376953125,19036.0,18699.89892578125,108.429,0.903575,56.0,99.0,82.0,1.9,2026-04-06T14:55:06.121486
46,473.87492,0.0,0.0,0.0,37.890621,0.0,3569.11376953125,19036.0,18699.89892578125,99.2005,0.8266708333333335,56.0,100.0,77.0,1.9,2026-04-06T14:55:06.602762
47,474.107484,0.0,0.0,0.0,37.954121,0.0,3569.11376953125,19036.0,18699.89892578125,99.2005,0.8266708333333335,56.0,100.0,77.0,1.9,2026-04-06T14:55:07.077139
48,474.036823,0.0,0.0,0.0,37.918171,0.0,3569.11376953125,19036.0,18699.89892578125,109.229,0.9102416666666666,56.0,100.0,75.0,1.9,2026-04-06T14:55:07.553967
49,474.321497,0.0,0.0,0.0,37.974752,0.0,3569.11376953125,19036.0,18699.89892578125,109.229,0.9102416666666666,56.0,100.0,75.0,1.9,2026-04-06T14:55:08.028560
50,473.985223,0.0,0.0,0.0,37.878841,0.0,3569.11376953125,19036.0,18699.89892578125,99.597,0.8299749999999999,56.0,100.0,77.0,1.8,2026-04-06T14:55:08.506691
51,474.127514,0.0,0.0,0.0,37.934472,0.0,3569.11376953125,19036.0,18699.89892578125,99.597,0.8299749999999999,56.0,100.0,77.0,1.8,2026-04-06T14:55:08.981112
52,474.262837,0.0,0.0,0.0,38.032403,0.0,3569.11376953125,19036.0,18699.89892578125,108.9515,0.9079291666666667,56.0,99.0,79.0,1.9,2026-04-06T14:55:09.461838
53,473.847979,0.0,0.0,0.0,38.023622,0.0,3569.11376953125,19036.0,18699.89892578125,108.9515,0.9079291666666667,56.0,99.0,79.0,1.9,2026-04-06T14:55:09.935954
54,474.068573,0.0,0.0,0.0,37.87375,0.0,3569.11376953125,19036.0,18699.89892578125,99.918,0.83265,57.0,100.0,77.0,1.9,2026-04-06T14:55:10.412778
55,474.172315,0.0,0.0,0.0,37.996552,0.0,3569.11376953125,19036.0,18699.89892578125,99.918,0.83265,57.0,100.0,77.0,1.9,2026-04-06T14:55:10.887196
56,473.770749,0.0,0.0,0.0,37.929482,0.0,3569.11376953125,19036.0,18699.89892578125,109.1285,0.9094041666666667,56.0,100.0,75.0,2.0,2026-04-06T14:55:11.364012
