step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,429.074878,0.0,239.935074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T15:57:03.221227
1,175.21128,0.0,77.762092,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,50.3675,0.4197291666666667,54.0,90.0,72.0,1.1,2026-04-06T15:57:03.400163
2,248.177899,0.0,77.946776,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,50.3675,0.4197291666666667,54.0,90.0,72.0,1.1,2026-04-06T15:57:03.648568
3,251.358743,0.0,77.711411,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.6655,0.4472125,55.0,99.0,77.0,1.1,2026-04-06T15:57:03.903317
4,248.761838,0.0,78.18613,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.6655,0.4472125,55.0,99.0,77.0,1.1,2026-04-06T15:57:04.152296
5,252.025016,0.0,77.791693,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.951,0.4412583333333333,56.0,99.0,76.0,1.0,2026-04-06T15:57:04.406947
6,249.357798,0.0,77.929255,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.951,0.4412583333333333,56.0,99.0,76.0,1.0,2026-04-06T15:57:04.656514
7,251.522388,0.0,78.013818,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9945,0.44162083333333335,56.0,99.0,77.0,1.1,2026-04-06T15:57:04.910684
8,249.074374,0.0,77.668181,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.9945,0.44162083333333335,56.0,99.0,77.0,1.1,2026-04-06T15:57:05.159965
9,252.30769,0.0,78.17369,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.398,0.43665000000000004,56.0,99.0,77.0,1.0,2026-04-06T15:57:05.418762
10,245.682934,0.0,77.905865,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.398,0.43665000000000004,56.0,99.0,77.0,1.0,2026-04-06T15:57:05.664673
11,251.184362,0.0,77.843195,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.636,0.44696666666666673,56.0,99.0,77.0,1.0,2026-04-06T15:57:05.919449
12,248.334701,0.0,77.991206,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.636,0.44696666666666673,56.0,99.0,77.0,1.0,2026-04-06T15:57:06.168003
13,250.758704,0.0,77.696191,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9475,0.4495625,57.0,99.0,75.0,1.1,2026-04-06T15:57:06.421568
14,250.055222,0.0,78.506515,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9475,0.4495625,57.0,99.0,75.0,1.1,2026-04-06T15:57:06.671831
15,251.794232,0.0,78.001537,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.777,0.4398083333333333,57.0,99.0,77.0,1.1,2026-04-06T15:57:06.926257
16,249.121625,0.0,77.787713,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.777,0.4398083333333333,57.0,99.0,77.0,1.1,2026-04-06T15:57:07.175585
17,251.391495,0.0,77.951095,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.7315,0.43942916666666665,56.0,99.0,75.0,1.0,2026-04-06T15:57:07.429642
18,249.137485,0.0,77.884005,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.7315,0.43942916666666665,56.0,99.0,75.0,1.0,2026-04-06T15:57:07.678991
19,252.008145,0.0,78.335442,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.5085,0.4375708333333333,56.0,99.0,76.0,1.0,2026-04-06T15:57:07.938391
20,244.531734,0.0,77.854854,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.5085,0.4375708333333333,56.0,99.0,76.0,1.0,2026-04-06T15:57:08.183143
21,251.465016,0.0,78.000687,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.7065,0.44755416666666664,57.0,99.0,74.0,1.1,2026-04-06T15:57:08.438333
22,248.477384,0.0,78.072678,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.7065,0.44755416666666664,57.0,99.0,74.0,1.1,2026-04-06T15:57:08.687021
23,251.682839,0.0,77.874154,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,55.0845,0.4590375,57.0,99.0,76.0,1.0,2026-04-06T15:57:08.941400
24,249.890069,0.0,78.629977,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,55.0845,0.4590375,57.0,99.0,76.0,1.0,2026-04-06T15:57:09.191592
25,251.554288,0.0,77.847284,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.7165,0.43097083333333336,57.0,99.0,74.0,1.0,2026-04-06T15:57:09.445816
26,249.186886,0.0,77.911175,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.7165,0.43097083333333336,57.0,99.0,74.0,1.0,2026-04-06T15:57:09.695218
27,251.434085,0.0,78.076327,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.914,0.44095,56.0,99.0,76.0,1.1,2026-04-06T15:57:09.949314
28,248.885801,0.0,77.769142,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.914,0.44095,56.0,99.0,76.0,1.1,2026-04-06T15:57:10.198405
29,252.578386,0.0,78.481685,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.9115,0.4325958333333333,57.0,99.0,74.0,1.1,2026-04-06T15:57:10.457342
30,245.713595,0.0,77.863184,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.9115,0.4325958333333333,57.0,99.0,74.0,1.1,2026-04-06T15:57:10.703287
31,251.550928,0.0,77.890165,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9595,0.44966249999999997,57.0,99.0,76.0,1.1,2026-04-06T15:57:10.958522
32,248.375281,0.0,78.18328,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9595,0.44966249999999997,57.0,99.0,76.0,1.1,2026-04-06T15:57:11.207112
33,250.953067,0.0,77.759232,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8975,0.4491458333333333,57.0,100.0,73.0,1.1,2026-04-06T15:57:11.460709
34,250.128012,0.0,78.462615,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8975,0.4491458333333333,57.0,100.0,73.0,1.1,2026-04-06T15:57:11.711051
35,251.614329,0.0,77.954787,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.15,0.4429166666666667,57.0,99.0,76.0,1.1,2026-04-06T15:57:11.965323
36,249.42915,0.0,77.854413,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.15,0.4429166666666667,57.0,99.0,76.0,1.1,2026-04-06T15:57:12.214959
37,251.454526,0.0,78.141719,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.8045,0.44003749999999997,57.0,100.0,72.0,1.1,2026-04-06T15:57:12.469091
38,249.462551,0.0,77.874384,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.8045,0.44003749999999997,57.0,100.0,72.0,1.1,2026-04-06T15:57:12.718771
39,251.764551,0.0,78.18986,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.6075,0.4383958333333334,57.0,99.0,78.0,1.1,2026-04-06T15:57:12.976699
40,246.846885,0.0,78.112249,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.6075,0.4383958333333334,57.0,99.0,78.0,1.1,2026-04-06T15:57:13.223760
41,251.603518,0.0,77.949965,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.798,0.4483166666666667,57.0,99.0,70.0,1.0,2026-04-06T15:57:13.478883
42,248.983693,0.0,78.127409,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.798,0.4483166666666667,57.0,99.0,70.0,1.0,2026-04-06T15:57:13.728081
43,251.404464,0.0,77.794033,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.341,0.44450833333333334,58.0,99.0,77.0,1.0,2026-04-06T15:57:13.982134
44,249.864048,0.0,78.127999,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.341,0.44450833333333334,58.0,99.0,77.0,1.0,2026-04-06T15:57:14.232213
45,251.67781,0.0,77.987266,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.863,0.44052499999999994,58.0,100.0,69.0,1.1,2026-04-06T15:57:14.486682
46,249.562342,0.0,77.963055,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.863,0.44052499999999994,58.0,100.0,69.0,1.1,2026-04-06T15:57:14.736552
47,252.204968,0.0,78.343333,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,63.4965,0.5291375,58.0,99.0,77.0,1.0,2026-04-06T15:57:14.996271
48,244.89915,0.0,78.049288,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,63.4965,0.5291375,58.0,99.0,77.0,1.0,2026-04-06T15:57:15.241384
49,251.620858,0.0,78.013727,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.737,0.44780833333333336,58.0,99.0,77.0,1.1,2026-04-06T15:57:15.496475
50,248.91133,0.0,78.23382,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.737,0.44780833333333336,58.0,99.0,77.0,1.1,2026-04-06T15:57:15.745615
51,251.641319,0.0,77.838484,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8625,0.44885416666666667,57.0,99.0,76.0,1.0,2026-04-06T15:57:15.999982
52,249.708525,0.0,78.259341,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8625,0.44885416666666667,57.0,99.0,76.0,1.0,2026-04-06T15:57:16.249936
53,251.550088,0.0,77.860834,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.23,0.4435833333333333,58.0,99.0,77.0,1.1,2026-04-06T15:57:16.504172
54,249.293178,0.0,77.908145,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.23,0.4435833333333333,58.0,99.0,77.0,1.1,2026-04-06T15:57:16.753677
55,251.6296,0.0,78.18581,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.999,0.4416583333333333,58.0,99.0,76.0,1.1,2026-04-06T15:57:17.007991
56,248.760528,0.0,77.732982,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.999,0.4416583333333333,58.0,99.0,76.0,1.1,2026-04-06T15:57:17.256968
57,252.058937,0.0,78.19361,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.7325,0.43943750000000004,58.0,99.0,77.0,1.1,2026-04-06T15:57:17.515173
58,246.500618,0.0,78.059827,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.7325,0.43943750000000004,58.0,99.0,77.0,1.1,2026-04-06T15:57:17.761894
59,251.16938,0.0,77.959306,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8,0.4483333333333333,58.0,99.0,76.0,1.0,2026-04-06T15:57:18.017057
60,247.849043,0.0,77.564889,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8,0.4483333333333333,58.0,99.0,76.0,1.0,2026-04-06T15:57:18.265126
61,251.15996,0.0,77.862544,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.2385,0.4519875,58.0,99.0,77.0,1.1,2026-04-06T15:57:18.519712
62,249.679604,0.0,78.940463,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.2385,0.4519875,58.0,99.0,77.0,1.1,2026-04-06T15:57:18.769606
63,251.627569,0.0,77.949456,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.791,0.439925,58.0,99.0,74.0,1.1,2026-04-06T15:57:19.023907
64,249.435051,0.0,77.923285,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.791,0.439925,58.0,99.0,74.0,1.1,2026-04-06T15:57:19.273557
65,251.882013,0.0,78.19203,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.72,0.4393333333333333,58.0,99.0,76.0,1.1,2026-04-06T15:57:19.528513
66,248.979322,0.0,77.840934,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.72,0.4393333333333333,58.0,99.0,76.0,1.1,2026-04-06T15:57:19.777700
67,251.855322,0.0,78.126539,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.331,0.4360916666666667,58.0,99.0,74.0,1.0,2026-04-06T15:57:20.034680
68,247.316402,0.0,78.094078,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.331,0.4360916666666667,58.0,99.0,74.0,1.0,2026-04-06T15:57:20.282208
69,251.69231,0.0,77.974986,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.971,0.4497583333333333,58.0,99.0,76.0,1.0,2026-04-06T15:57:20.536560
70,250.197613,0.0,78.390913,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.971,0.4497583333333333,58.0,99.0,76.0,1.0,2026-04-06T15:57:20.786969
71,252.25276,0.0,78.278321,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.299,0.4441583333333333,58.0,99.0,74.0,1.1,2026-04-06T15:57:21.042002
72,249.585492,0.0,78.054867,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.299,0.4441583333333333,58.0,99.0,74.0,1.1,2026-04-06T15:57:21.291798
73,251.955104,0.0,78.296272,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.2665,0.45222083333333335,58.0,99.0,76.0,1.0,2026-04-06T15:57:21.546428
74,249.41375,0.0,77.832803,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.2665,0.45222083333333335,58.0,99.0,76.0,1.0,2026-04-06T15:57:21.796056
75,251.994485,0.0,78.16786,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.37,0.4280833333333333,58.0,99.0,75.0,1.1,2026-04-06T15:57:22.053852
76,246.501889,0.0,78.015727,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.37,0.4280833333333333,58.0,99.0,75.0,1.1,2026-04-06T15:57:22.300575
77,251.641228,0.0,77.935076,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0025,0.45002083333333326,58.0,99.0,76.0,1.1,2026-04-06T15:57:22.556342
78,248.566205,0.0,78.310312,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0025,0.45002083333333326,58.0,99.0,76.0,1.1,2026-04-06T15:57:22.805122
79,251.595748,0.0,77.837513,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.98,0.4498333333333333,58.0,100.0,73.0,1.1,2026-04-06T15:57:23.059394
80,250.269515,0.0,78.067878,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.98,0.4498333333333333,58.0,100.0,73.0,1.1,2026-04-06T15:57:23.309877
81,251.898943,0.0,78.116898,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.0685,0.4422375,58.0,99.0,77.0,1.1,2026-04-06T15:57:23.564498
82,249.614543,0.0,77.831844,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.0685,0.4422375,58.0,99.0,77.0,1.1,2026-04-06T15:57:23.814324
