step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,444.363423,0.0,245.156024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T16:33:24.586068
1,175.848228,0.0,78.01671,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,47.098,0.39248333333333335,58.0,87.0,68.0,0.6,2026-04-06T16:33:24.765244
2,249.031233,0.0,77.744165,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,47.098,0.39248333333333335,58.0,87.0,68.0,0.6,2026-04-06T16:33:25.014507
3,251.905063,0.0,78.04688,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.9345,0.43278750000000005,58.0,99.0,77.0,0.6,2026-04-06T16:33:25.270111
4,248.751987,0.0,78.122602,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.9345,0.43278750000000005,58.0,99.0,77.0,0.6,2026-04-06T16:33:25.519081
5,251.881553,0.0,77.813336,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.971,0.4497583333333333,58.0,99.0,74.0,0.6,2026-04-06T16:33:25.773612
6,250.166203,0.0,78.367326,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.971,0.4497583333333333,58.0,99.0,74.0,0.6,2026-04-06T16:33:26.023999
7,251.891733,0.0,77.985419,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.385,0.44487499999999996,58.0,99.0,76.0,0.5,2026-04-06T16:33:26.278569
8,250.332715,0.0,78.121221,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.385,0.44487499999999996,58.0,99.0,76.0,0.5,2026-04-06T16:33:26.529127
9,253.510671,0.0,78.899676,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.522,0.42934999999999995,59.0,99.0,74.0,0.6,2026-04-06T16:33:26.789569
10,245.974708,0.0,78.140633,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,51.522,0.42934999999999995,59.0,99.0,74.0,0.6,2026-04-06T16:33:27.035773
11,251.853433,0.0,78.007549,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0425,0.4503541666666666,59.0,99.0,76.0,0.6,2026-04-06T16:33:27.291063
12,249.341158,0.0,78.303365,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0425,0.4503541666666666,59.0,99.0,76.0,0.6,2026-04-06T16:33:27.540628
13,251.641558,0.0,78.00295,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8595,0.4488291666666666,59.0,99.0,73.0,0.5,2026-04-06T16:33:27.795157
14,249.768085,0.0,78.301745,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8595,0.4488291666666666,59.0,99.0,73.0,0.5,2026-04-06T16:33:28.045141
15,252.285251,0.0,78.226484,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.084,0.4423666666666667,60.0,99.0,77.0,0.6,2026-04-06T16:33:28.300153
16,250.156742,0.0,78.276014,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.084,0.4423666666666667,60.0,99.0,77.0,0.6,2026-04-06T16:33:28.550531
17,252.384442,0.0,78.418196,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.0765,0.43397083333333336,60.0,99.0,72.0,0.6,2026-04-06T16:33:28.809319
18,246.184173,0.0,78.233373,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.0765,0.43397083333333336,60.0,99.0,72.0,0.6,2026-04-06T16:33:29.055769
19,251.70478,0.0,77.96567,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9295,0.4494125,60.0,99.0,77.0,0.6,2026-04-06T16:33:29.310929
20,249.515212,0.0,78.329835,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.9295,0.4494125,60.0,99.0,77.0,0.6,2026-04-06T16:33:29.560666
21,251.914793,0.0,77.926988,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.3685,0.44473749999999995,60.0,99.0,69.0,0.6,2026-04-06T16:33:29.815411
22,250.085591,0.0,78.243574,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.3685,0.44473749999999995,60.0,99.0,69.0,0.6,2026-04-06T16:33:30.065712
23,253.081094,0.0,78.466957,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,63.6735,0.5306124999999999,60.0,99.0,77.0,0.5,2026-04-06T16:33:30.321599
24,249.377379,0.0,77.925078,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,63.6735,0.5306124999999999,60.0,99.0,77.0,0.5,2026-04-06T16:33:30.571267
25,252.027686,0.0,78.294275,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.33,0.45275,60.0,99.0,77.0,0.5,2026-04-06T16:33:30.829134
26,246.902055,0.0,78.215004,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.33,0.45275,60.0,99.0,77.0,0.5,2026-04-06T16:33:31.076269
27,251.72567,0.0,77.928479,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8455,0.4487125,61.0,99.0,77.0,0.6,2026-04-06T16:33:31.330746
28,250.272285,0.0,78.365296,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8455,0.4487125,61.0,99.0,77.0,0.6,2026-04-06T16:33:31.581239
29,252.561264,0.0,78.164022,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.4745,0.4456208333333333,61.0,99.0,77.0,0.5,2026-04-06T16:33:31.836510
30,249.876058,0.0,78.096631,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.4745,0.4456208333333333,61.0,99.0,77.0,0.5,2026-04-06T16:33:32.086602
31,252.269699,0.0,78.326116,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.049,0.442075,61.0,99.0,76.0,0.6,2026-04-06T16:33:32.342029
32,249.603622,0.0,77.97763,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.049,0.442075,61.0,99.0,76.0,0.6,2026-04-06T16:33:32.591850
33,252.398272,0.0,78.224264,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.2975,0.4358125,61.0,99.0,76.0,0.6,2026-04-06T16:33:32.847529
34,249.839007,0.0,78.295724,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.2975,0.4358125,61.0,99.0,76.0,0.6,2026-04-06T16:33:33.097593
35,251.75481,0.0,77.890338,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.082,0.4506833333333333,61.0,99.0,76.0,0.5,2026-04-06T16:33:33.352076
