step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,checkpoint_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,431.555769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T16:28:13.789088
1,174.219602,0.0,0.0,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,46.6305,0.3885875,57.0,94.0,74.0,0.6,2026-04-06T16:28:13.967267
2,247.323112,0.0,0.0,0.0,0.0,0.0,3440.73876953125,10940.0,10616.72705078125,46.6305,0.3885875,57.0,94.0,74.0,0.6,2026-04-06T16:28:14.214818
3,250.520709,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0395,0.45032916666666667,57.0,99.0,74.0,0.5,2026-04-06T16:28:14.467885
4,248.904,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.0395,0.45032916666666667,57.0,99.0,74.0,0.5,2026-04-06T16:28:14.717016
5,250.545528,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8575,0.44881250000000006,58.0,99.0,77.0,0.5,2026-04-06T16:28:14.970257
6,248.808888,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.8575,0.44881250000000006,58.0,99.0,77.0,0.5,2026-04-06T16:28:15.219283
7,250.65885,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.499,0.445825,58.0,99.0,74.0,0.5,2026-04-06T16:28:15.472653
8,248.690406,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.499,0.445825,58.0,99.0,74.0,0.5,2026-04-06T16:28:15.721564
9,250.936025,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.252,0.4437666666666667,59.0,99.0,76.0,0.6,2026-04-06T16:28:15.975264
10,248.433351,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.252,0.4437666666666667,59.0,99.0,76.0,0.6,2026-04-06T16:28:16.223920
11,250.881455,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.139,0.442825,59.0,99.0,75.0,0.5,2026-04-06T16:28:16.477511
12,247.916682,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.139,0.442825,59.0,99.0,75.0,0.5,2026-04-06T16:28:16.725667
13,250.941006,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.0695,0.44224583333333334,59.0,99.0,77.0,0.5,2026-04-06T16:28:16.984515
14,244.001454,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.0695,0.44224583333333334,59.0,99.0,77.0,0.5,2026-04-06T16:28:17.228741
15,250.734492,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3365,0.4528041666666667,59.0,100.0,75.0,0.5,2026-04-06T16:28:17.484517
16,246.540869,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3365,0.4528041666666667,59.0,100.0,75.0,0.5,2026-04-06T16:28:17.731279
17,250.513488,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.422,0.4535166666666666,59.0,99.0,77.0,0.5,2026-04-06T16:28:17.984577
18,248.731136,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.422,0.4535166666666666,59.0,99.0,77.0,0.5,2026-04-06T16:28:18.233520
19,250.271374,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3435,0.4528625,59.0,100.0,74.0,0.5,2026-04-06T16:28:18.486708
20,249.246646,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3435,0.4528625,59.0,100.0,74.0,0.5,2026-04-06T16:28:18.736171
21,250.496378,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.7175,0.44764583333333335,59.0,99.0,77.0,0.6,2026-04-06T16:28:18.989576
22,248.833279,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.7175,0.44764583333333335,59.0,99.0,77.0,0.6,2026-04-06T16:28:19.238623
23,251.010667,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.6155,0.44679583333333334,60.0,100.0,73.0,0.5,2026-04-06T16:28:19.492359
24,249.128284,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.6155,0.44679583333333334,60.0,100.0,73.0,0.5,2026-04-06T16:28:19.741710
25,251.064748,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.107,0.44255833333333333,60.0,99.0,77.0,0.5,2026-04-06T16:28:19.995484
26,248.469253,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,53.107,0.44255833333333333,60.0,99.0,77.0,0.5,2026-04-06T16:28:20.244175
27,251.525385,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.836,0.44029999999999997,60.0,100.0,72.0,0.5,2026-04-06T16:28:20.503610
28,243.554626,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,52.836,0.44029999999999997,60.0,100.0,72.0,0.5,2026-04-06T16:28:20.747411
29,251.005667,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3685,0.4530708333333333,60.0,99.0,78.0,0.5,2026-04-06T16:28:21.003353
30,247.151699,0.0,0.0,0.0,0.0,0.0,3437.98876953125,10940.0,10616.72705078125,54.3685,0.4530708333333333,60.0,99.0,78.0,0.5,2026-04-06T16:28:21.250732
